,muP,sP,Nsig,Mean_Abs,Std_Corr
0,0.0,0.0,0.0,,
1,0.0,0.0,0.2,,
2,0.0,0.0,0.4,,
3,0.0,0.0,0.6000000000000001,,
4,0.0,0.0,0.8,,
5,0.0,0.0,1.0,,
6,0.0,0.0,1.2000000000000002,,
7,0.0,0.0,1.4000000000000001,,
8,0.0,0.0,1.6,,
9,0.0,0.0,1.8,,
10,0.0,0.0,2.0,,
11,0.0,0.0,2.2,,
12,0.0,0.0,2.4000000000000004,,
13,0.0,0.0,2.6,,
14,0.0,0.0,2.8000000000000003,,
15,0.0,0.0,3.0,,
16,0.0,0.0,3.2,,
17,0.0,0.0,3.4000000000000004,,
18,0.0,0.0,3.6,,
19,0.0,0.0,3.8000000000000003,,
20,0.0,0.0,4.0,,
21,0.0,0.0,4.2,,
22,0.0,0.0,4.4,,
23,0.0,0.0,4.6000000000000005,,
24,0.0,0.0,4.800000000000001,,
25,0.0,0.0,5.0,,
26,0.0,0.0,5.2,,
27,0.0,0.0,5.4,,
28,0.0,0.0,5.6000000000000005,,
29,0.0,0.0,5.800000000000001,,
30,0.0,0.0,6.0,,
31,0.0,0.0,6.2,,
32,0.0,0.0,6.4,,
33,0.0,0.0,6.6000000000000005,,
34,0.0,0.0,6.800000000000001,,
35,0.0,0.0,7.0,,
36,0.0,0.0,7.2,,
37,0.0,0.0,7.4,,
38,0.0,0.0,7.6000000000000005,,
39,0.0,0.0,7.800000000000001,,
40,0.0,0.0,8.0,,
41,0.0,0.0,8.200000000000001,,
42,0.0,0.0,8.4,,
43,0.0,0.0,8.6,,
44,0.0,0.0,8.8,,
45,0.0,0.0,9.0,,
46,0.0,0.0,9.200000000000001,,
47,0.0,0.0,9.4,,
48,0.0,0.0,9.600000000000001,,
49,0.0,0.0,9.8,,
50,0.0,0.0,10.0,,
51,0.0,2.5,0.0,,
52,0.0,2.5,0.2,266.6298532065087,1.0
53,0.0,2.5,0.4,309.9182741081988,
54,0.0,2.5,0.6000000000000001,335.9279077716016,0.9999999999999999
55,0.0,2.5,0.8,353.37805814396154,
56,0.0,2.5,1.0,365.9415848861481,1.0
57,0.0,2.5,1.2000000000000002,375.4417481445536,
58,0.0,2.5,1.4000000000000001,382.8892115784597,0.9999999999999999
59,0.0,2.5,1.6,388.89104663286594,
60,0.0,2.5,1.8,393.83481976391096,1.0
61,0.0,2.5,2.0,397.98005452816614,
62,0.0,2.5,2.2,401.5073241775313,1.0
63,0.0,2.5,2.4000000000000004,404.546285658355,
64,0.0,2.5,2.6,407.19251876681835,1.0
65,0.0,2.5,2.8000000000000003,409.5180748785473,
66,0.0,2.5,3.0,411.5783234168653,0.9999999999999999
67,0.0,2.5,3.2,413.41653209137644,
68,0.0,2.5,3.4000000000000004,415.06701242178343,1.0
69,0.0,2.5,3.6,416.55733004029435,
70,0.0,2.5,3.8000000000000003,417.90988956076166,1.0
71,0.0,2.5,4.0,419.14309161287,
72,0.0,2.5,4.2,420.2721912499272,1.0
73,0.0,2.5,4.4,421.3099441130594,
74,0.0,2.5,4.6000000000000005,422.26709926495613,1.0
75,0.0,2.5,4.800000000000001,423.1527796015683,
76,0.0,2.5,5.0,423.9747787160869,1.0
77,0.0,2.5,5.2,424.7397949018523,
78,0.0,2.5,5.4,425.45361731888306,1.0
79,0.0,2.5,5.6000000000000005,426.1212753745666,
80,0.0,2.5,5.800000000000001,426.7471595410073,0.9999999999999999
81,0.0,2.5,6.0,427.33511979337965,
82,0.0,2.5,6.2,427.88854636738466,1.0
83,0.0,2.5,6.4,428.41043643818784,
84,0.0,2.5,6.6000000000000005,428.9034495071502,1.0
85,0.0,2.5,6.800000000000001,429.369953669051,
86,0.0,2.5,7.0,429.8120644669908,0.9999999999999999
87,0.0,2.5,7.2,430.23167768603435,
88,0.0,2.5,7.4,430.6304971620577,1.0
89,0.0,2.5,7.6000000000000005,431.01005846895396,
90,0.0,2.5,7.800000000000001,431.37174918048726,0.9999999999999999
91,0.0,2.5,8.0,431.7168262716876,
92,0.0,2.5,8.200000000000001,432.04643112055476,1.0
93,0.0,2.5,8.4,432.36160248784347,
94,0.0,2.5,8.6,432.66328778616275,1.0
95,0.0,2.5,8.8,432.95235289599856,
96,0.0,2.5,9.0,433.22959074282517,1.0
97,0.0,2.5,9.200000000000001,433.4957288141097,
98,0.0,2.5,9.4,433.7514357660873,1.0
99,0.0,2.5,9.600000000000001,433.997327246429,
100,0.0,2.5,9.8,434.2339710393214,1.0
101,0.0,2.5,10.0,434.4618916232398,
102,0.0,5.0,0.0,,
103,0.0,5.0,0.2,231.17899087028266,
104,0.0,5.0,0.4,266.47150503840186,1.0
105,0.0,5.0,0.6000000000000001,291.3812746826513,
106,0.0,5.0,0.8,309.9676409544976,1.0
107,0.0,5.0,1.0,324.41278066033874,
108,0.0,5.0,1.2000000000000002,335.98939568898544,1.0
109,0.0,5.0,1.4000000000000001,345.4910463905773,
110,0.0,5.0,1.6,353.43975398045853,0.9999999999999999
111,0.0,5.0,1.8,360.1939407224136,
112,0.0,5.0,2.0,366.00839755989426,0.9999999999999999
113,0.0,5.0,2.2,371.0695149446626,
114,0.0,5.0,2.4000000000000004,375.5169681130002,1.0
115,0.0,5.0,2.6,379.4575958441027,
116,0.0,5.0,2.8000000000000003,382.9745811420772,1.0
117,0.0,5.0,3.0,386.1336984314969,
118,0.0,5.0,3.2,388.9876701621228,1.0
119,0.0,5.0,3.4000000000000004,391.5792709830656,
120,0.0,5.0,3.6,393.9435819738974,0.9999999999999999
121,0.0,5.0,3.8000000000000003,396.1096556166011,
122,0.0,5.0,4.0,398.1017643726168,1.0
123,0.0,5.0,4.2,399.94034993242417,
124,0.0,5.0,4.4,401.64275393362186,1.0
125,0.0,5.0,4.6000000000000005,403.2237868737728,
126,0.0,5.0,4.800000000000001,404.69617567073146,0.9999999999999999
127,0.0,5.0,5.0,406.0709191319565,
128,0.0,5.0,5.2,407.3575727775742,1.0
129,0.0,5.0,5.4,408.5644789236466,
130,0.0,5.0,5.6000000000000005,409.69895395607165,1.0
131,0.0,5.0,5.800000000000001,410.7674418361245,
132,0.0,5.0,6.0,411.77564075500493,1.0
133,0.0,5.0,6.2,412.7286082774396,
134,0.0,5.0,6.4,413.6308491312989,1.0
135,0.0,5.0,6.6000000000000005,414.48638890461814,
136,0.0,5.0,6.800000000000001,415.2988362276293,1.0
137,0.0,5.0,7.0,416.0714354911066,
138,0.0,5.0,7.2,416.8071117441331,1.0
139,0.0,5.0,7.4,417.50850909553725,
140,0.0,5.0,7.6000000000000005,418.1780236924821,1.0
141,0.0,5.0,7.800000000000001,418.8178321512003,
142,0.0,5.0,8.0,419.42991615681615,1.0
143,0.0,5.0,8.200000000000001,420.01608382260275,
144,0.0,5.0,8.4,420.5779882970799,1.0
145,0.0,5.0,8.6,421.11714402483364,
146,0.0,5.0,8.8,421.6349409998059,1.0
147,0.0,5.0,9.0,422.13265729492525,
148,0.0,5.0,9.200000000000001,422.61147010689524,1.0
149,0.0,5.0,9.4,423.0724655178037,
150,0.0,5.0,9.600000000000001,423.5166471444501,0.9999999999999999
151,0.0,5.0,9.8,423.9449438207129,
152,0.0,5.0,10.0,424.3582164369414,1.0
153,0.0,7.5,0.0,,
154,0.0,7.5,0.2,215.71067226179792,1.0
155,0.0,7.5,0.4,244.46206036811418,
156,0.0,7.5,0.6000000000000001,266.5011841684321,1.0
157,0.0,7.5,0.8,283.96809980498233,
158,0.0,7.5,1.0,298.18736307166097,1.0
159,0.0,7.5,1.2000000000000002,310.0115419836538,
160,0.0,7.5,1.4000000000000001,320.01409439492795,1.0
161,0.0,7.5,1.6,328.5959853907541,
162,0.0,7.5,1.8,336.0467426530611,1.0
163,0.0,7.5,2.0,342.58109072452885,
164,0.0,7.5,2.2,348.36190007859295,1.0
165,0.0,7.5,2.4000000000000004,353.5151056198006,
166,0.0,7.5,2.6,358.13971489104244,1.0
167,0.0,7.5,2.8000000000000003,362.314705558023,
168,0.0,7.5,3.0,366.1038912949491,1.0
169,0.0,7.5,3.2,369.5594253855784,
170,0.0,7.5,3.4000000000000004,372.7243695030378,0.9999999999999998
171,0.0,7.5,3.6,375.63460775377496,
172,0.0,7.5,3.8000000000000003,378.3202937084541,1.0
173,0.0,7.5,4.0,380.80695880738136,
174,0.0,7.5,4.2,383.11637155911006,1.0
175,0.0,7.5,4.4,385.2672108443039,
176,0.0,7.5,4.6000000000000005,387.27559882979875,1.0
177,0.0,7.5,4.800000000000001,389.1555266509047,
178,0.0,7.5,5.0,390.919197329606,0.9999999999999998
179,0.0,7.5,5.2,392.577304194575,
180,0.0,7.5,5.4,394.1392585864485,0.9999999999999998
181,0.0,7.5,5.6000000000000005,395.6133773535675,
182,0.0,7.5,5.800000000000001,397.00703821945655,1.0
183,0.0,7.5,6.0,398.3268092927082,
184,0.0,7.5,6.2,399.57855762453073,1.0
185,0.0,7.5,6.4,400.76754068032943,
186,0.0,7.5,6.6000000000000005,401.89848379461677,1.0
187,0.0,7.5,6.800000000000001,402.9756460621785,
188,0.0,7.5,7.0,404.0028766382564,0.9999999999999998
189,0.0,7.5,7.2,404.98366304383467,
190,0.0,7.5,7.4,405.9211727746763,0.9999999999999998
191,0.0,7.5,7.6000000000000005,406.81828927640487,
192,0.0,7.5,7.800000000000001,407.67764315902275,1.0
193,0.0,7.5,8.0,408.50163937240535,
194,0.0,7.5,8.200000000000001,409.2924809416094,1.0
195,0.0,7.5,8.4,410.05218976117214,
196,0.0,7.5,8.6,410.78262486623726,1.0
197,0.0,7.5,8.8,411.48549853166105,
198,0.0,7.5,9.0,412.1623904953248,1.0
199,0.0,7.5,9.200000000000001,412.8147605564637,
200,0.0,7.5,9.4,413.44395976211,1.0
201,0.0,7.5,9.600000000000001,414.05124036330676,
202,0.0,7.5,9.8,414.6377646964513,1.0
203,0.0,7.5,10.0,415.20461312304076,
204,0.0,10.0,0.0,,
205,0.0,10.0,0.2,207.02891137761333,
206,0.0,10.0,0.4,231.10916001193632,1.0
207,0.0,10.0,0.6000000000000001,250.52657420354728,
208,0.0,10.0,0.8,266.5332958294222,0.9999999999999998
209,0.0,10.0,1.0,279.98226922963215,
210,0.0,10.0,1.2000000000000002,291.4607246874417,1.0
211,0.0,10.0,1.4000000000000001,301.3853655259421,
212,0.0,10.0,1.6,310.0608199151592,0.9999999999999998
213,0.0,10.0,1.8,317.71550756204005,
214,0.0,10.0,2.0,324.52440464591353,0.9999999999999998
215,0.0,10.0,2.2,330.62401207061,
216,0.0,10.0,2.4000000000000004,336.12250617806546,1.0
217,0.0,10.0,2.6,341.10680622563984,
218,0.0,10.0,2.8000000000000003,345.6476077392502,1.0
219,0.0,10.0,3.0,349.8030385154663,
220,0.0,10.0,3.2,353.62136074221803,1.0
221,0.0,10.0,3.4000000000000004,357.14299930748723,
222,0.0,10.0,3.6,360.4020856799014,1.0
