itd,150m,400m,600m,1000m,150s,400s,600s,1000s,150zr,400zr,600zr,1000zr,150zr,400zr,600zr,1000zr
-600,-45.059,-59.414,-49.512,29.004,20.288,21.008,26.161,31.147,-0.0039243,-0.42968,-0.35348,-0.037186,0.080169,0.69094,0.41135,-0.46476
-480,-43.77,-56.426,-52.383,9.1992,20.215,18.315,20.98,37.393,-0.55319,-0.7283,-0.52506,0.72709,-0.19715,0.7645,0.60862,-0.27947
-360,-36.211,-46.172,-47.344,-25.137,21.301,21.897,22.049,33.741,0.34441,-0.17122,-0.17775,0.35909,-0.11028,0.28074,0.27305,-0.34998
-240,-28.184,-35.449,-37.617,-32.871,24.103,25.792,23.391,27.354,-0.19834,-0.079219,-0.40098,-0.1634,-0.17317,-0.25527,0.13744,-0.62397
-120,-16.289,-22.148,-21.621,-22.793,25.561,25.362,25.429,29.31,0.27826,0.31533,0.22948,0.80153,-0.32454,0.12932,0.068402,-0.21512
0,-3.8672,0.99609,3.2813,14.414,25.516,26.761,26.239,25.561,0.8279,0.58061,0.4251,0.64958,-0.40919,-0.31802,-0.28719,0.1714
120,13.887,21.328,30.469,40.02,25.697,28.908,27.28,25.364,0.56391,-0.0018688,0.18676,0.083703,-0.83109,-0.060428,0.049668,-0.0059033
240,30.469,38.555,46.992,47.637,25.929,22.613,21.719,22.517,0.2364,-0.4963,-0.35258,-0.03968,-0.38718,0.29309,-0.11097,0.45761
360,40.723,48.34,52.793,40.488,21.188,18.654,19.143,29.133,-0.0072367,-0.24947,-0.52114,0.12216,-0.28464,0.26439,0.73776,-0.19858
480,45.703,57.656,57.188,14.531,19.46,16.992,20.523,32.922,-0.17399,-0.58299,-0.5206,0.38291,-0.04053,0.39495,0.31398,-0.58814
600,49.922,59.238,56.016,-10.43,18.802,18.896,22.63,36.939,-0.10499,-0.64841,-0.032025,0.43879,0.35236,0.52514,0.47826,-0.96757
