AZ,ITD150,ITD400,ITD600,ITD1000,sdITD150,sdITD400,sdITD600,sdITD1000,,ITD,2sdITD150,2sdITD400,2sdITD600,2sdITD1000
-90,-776.5729866,-835.9722606,-767.7164708,-740.8141497,230.8294448,95.97198386,75.57251035,48.75722934,,-940,NaN,NaN,NaN,NaN
-89,-771.9332897,-831.5716426,-763.5224291,-736.8657142,229.5380131,95.87945136,74.9472983,49.3478235,,-935,NaN,NaN,NaN,NaN
-88,-767.8248006,-827.2093383,-759.6164012,-733.2392295,228.2530111,95.80584799,74.33299705,49.99904183,,-930,NaN,NaN,NaN,NaN
-87,-764.1884962,-822.8810907,-755.9663854,-729.8989231,226.9737244,95.74907051,73.72839429,50.70414832,,-925,NaN,NaN,NaN,NaN
-86,-760.9653533,-818.5826425,-752.5403802,-726.8090227,225.6994386,95.70701569,73.1322777,51.45640695,,-920,NaN,NaN,NaN,NaN
-85,-758.0963489,-814.3097368,-749.3063842,-723.9337562,224.4294393,95.67758029,72.54343499,52.2490817,,-915,NaN,NaN,NaN,NaN
-84,-755.5224599,-810.0581165,-746.2323958,-721.2373512,223.1630121,95.65866108,71.96065383,53.07543654,,-910,NaN,NaN,NaN,NaN
-83,-753.1846633,-805.8235245,-743.2864135,-718.6840353,221.8994426,95.64815481,71.38272191,53.92873546,,-905,NaN,NaN,NaN,NaN
-82,-751.0239359,-801.6017038,-740.4364358,-716.2380364,220.6380162,95.64395825,70.80842693,54.80224244,,-900,NaN,NaN,NaN,NaN
-81,-748.9812547,-797.3883972,-737.6504611,-713.863582,219.3780188,95.64396816,70.23655658,55.68922146,,-895,NaN,NaN,NaN,NaN
-80,-746.9975965,-793.1793477,-734.8964879,-711.5249,218.1187357,95.64608131,69.66589853,56.58293649,,-890,NaN,NaN,NaN,NaN
-79,-745.0139384,-788.9702981,-732.1425147,-709.1862179,216.8594526,95.64819446,69.09524048,57.47665153,,-885,NaN,NaN,NaN,NaN
-78,-742.9712572,-784.7569915,-729.35654,-706.8117636,215.5994551,95.64820437,68.52337012,58.36363055,,-880,NaN,NaN,NaN,NaN
-77,-740.8105298,-780.5351708,-726.5065623,-704.3657646,214.3380288,95.64400781,67.94907514,59.23713753,,-875,NaN,NaN,NaN,NaN
-76,-738.4727332,-776.3005788,-723.56058,-701.8124488,213.0744592,95.63350154,67.37114323,60.09043645,,-870,NaN,NaN,NaN,NaN
-75,-735.8988442,-772.0489585,-720.4865916,-699.1160437,211.808032,95.61458233,66.78836207,60.91679129,,-865,NaN,NaN,NaN,NaN
-74,-733.0298398,-767.7760528,-717.2525955,-696.2407772,210.5380327,95.58514693,66.19951935,61.70946603,,-860,NaN,NaN,NaN,NaN
-73,-729.8066969,-763.4776046,-713.8265904,-693.1508769,209.2637469,95.54309211,65.60340277,62.46172466,,-855,NaN,NaN,NaN,NaN
-72,-726.1703925,-759.149357,-710.1765746,-689.8105705,207.9844603,95.48631463,64.99880001,63.16683115,,-850,NaN,NaN,NaN,NaN
-71,-722.0619034,-754.7870527,-706.2705466,-686.1840857,206.6994583,95.41271126,64.38449876,63.81804949,,-845,NaN,NaN,NaN,NaN
-70,-717.4222065,-750.3864347,-702.076505,-682.2356503,205.4080266,95.32017876,63.75928671,64.40864364,,-840,NaN,NaN,NaN,NaN
-69,-712.1922788,-745.9432459,-697.5624481,-677.9294918,204.1094507,95.20661389,63.12195154,64.93187761,,-835,NaN,NaN,NaN,NaN
-68,-706.3130972,-741.4532293,-692.6963744,-673.2298381,202.8030163,95.06991342,62.47128095,65.38101535,,-830,NaN,NaN,NaN,NaN
-67,-699.7256386,-736.9121278,-687.4462825,-668.1009168,201.4880089,94.90797411,61.80606263,65.74932087,,-825,NaN,NaN,NaN,NaN
-66,-692.3708799,-732.3156843,-681.7801708,-662.5069557,200.1637142,94.71869273,61.12508426,66.03005812,,-820,NaN,NaN,NaN,NaN
-65,-684.189798,-727.6596417,-675.6660378,-656.4121824,198.8294176,94.49996603,60.42713353,66.21649111,,-815,NaN,NaN,NaN,NaN
-64,-675.1545049,-722.9320785,-669.0853874,-649.7956147,197.4832901,94.2497185,59.71199107,66.30419697,,-810,NaN,NaN,NaN,NaN
-63,-665.3616518,-718.0904153,-662.0737448,-642.6954311,196.1190435,93.96598553,58.98340918,66.29800551,,-805,NaN,NaN,NaN,NaN
-62,-654.9390253,-713.0844084,-654.6801407,-635.1646,194.7292747,93.64683023,58.24613314,66.20505972,,-800,NaN,NaN,NaN,NaN
-61,-644.0144118,-707.8638138,-646.9536059,-627.25609,193.3065811,93.29031569,57.50490818,66.03250257,,-795,NaN,NaN,NaN,NaN
-60,-632.7155976,-702.3783879,-638.9431711,-619.0228694,191.8435595,92.89450503,56.76447958,65.78747705,,-790,NaN,95.64778937,NaN,NaN
-59,-621.1703691,-696.5778867,-630.6978668,-610.5179069,190.3328071,92.45746135,56.02959257,65.47712612,,-785,NaN,95.64829298,NaN,NaN
-58,-609.5065127,-690.4120666,-622.2667239,-601.7941709,188.766921,91.97724775,55.30499241,65.10859278,,-780,NaN,95.6430627,NaN,NaN
-57,-597.8518148,-683.8306836,-613.6987731,-592.90463,187.1384982,91.45192735,54.59542435,64.68902,,-775,NaN,95.62868596,NaN,NaN
-56,-586.3340618,-676.7834939,-605.0430449,-583.9022525,185.4401358,90.87956325,53.90563366,64.22555075,,-770,NaN,95.60187646,NaN,NaN
-55,-575.0810402,-669.2202538,-596.3485701,-574.8400071,183.6644309,90.25821856,53.24036557,63.72532802,,-765,NaN,95.55951485,NaN,NaN
-54,-564.1951545,-661.1111618,-587.6545727,-565.7595313,181.8070685,89.58776442,52.60215939,63.19526959,,-760,NaN,95.49868341,NaN,NaN
-53,-553.6772828,-652.508186,-578.9610499,-556.6571391,179.8760853,88.87530413,51.98473056,62.64139244,,-755,NaN,95.41669389,NaN,NaN
-52,-543.5029212,-643.483737,-570.2581923,-547.5178138,177.8826059,88.12974903,51.37958858,62.06948834,,-750,NaN,95.31110811,NaN,NaN
-51,-533.647566,-634.1102251,-561.5361902,-538.3265384,175.8377548,87.36001045,50.77824292,61.48534909,,-745,216.8588372,95.17975307,NaN,NaN
-50,-524.0867136,-624.4600609,-552.7852342,-529.0682962,173.7526568,86.57499974,50.17220309,60.89476645,,-740,213.8992583,95.02072632,NaN,NaN
-49,-514.79586,-614.6056549,-543.9955149,-519.7280702,171.6384363,85.78362824,49.55297856,60.30353222,,-735,211.3972641,94.83236729,NaN,NaN
-48,-505.7505016,-604.6194176,-535.1572226,-510.2908436,169.506218,84.99480728,48.91207883,59.71743817,,-730,209.3344742,94.61322188,68.65510184,NaN
-47,-496.9261346,-594.5737594,-526.260548,-500.7415996,167.3671264,84.2174482,48.24101339,59.14227608,,-725,207.6009498,94.36243326,67.65184675,NaN
-46,-488.2982552,-584.5410909,-517.2956816,-491.0653213,165.2322863,83.46046234,47.53129172,58.58383774,,-720,206.1057089,94.08096378,66.69856385,NaN
-45,-479.8423597,-574.5938225,-508.2528137,-481.2469918,163.1128222,82.73276104,46.77442332,58.04791493,,-715,204.7874066,93.77180589,65.80461936,NaN
-44,-471.550786,-564.7735368,-499.1255837,-471.2775115,160.9956425,82.04619191,45.96473778,57.54997786,,-710,203.6047563,93.43885313,64.97040081,57.16568471
-43,-463.483238,-554.9985045,-489.9214254,-461.1714493,158.7707914,81.42434772,45.10784521,57.14421048,,-705,202.5290682,93.0861166,64.19149853,59.01176784
-42,-455.7162615,-545.1561686,-480.6512216,-450.949291,156.3040968,80.8937575,44.21217582,56.89447518,,-700,201.5397476,92.71736882,63.46174596,60.65185949
-41,-448.3264022,-535.1339719,-471.3258547,-440.6315228,153.4613868,80.48095027,43.28615982,56.86463433,,-695,200.6216258,92.33595866,62.77486349,62.02253076
-40,-441.3902058,-524.8193572,-461.9562075,-430.2386305,150.1084893,80.21245508,42.33822742,57.11855032,,-690,199.7634488,91.944737,62.12513699,63.12960666
-39,-434.9211479,-514.1376638,-452.5321114,-419.780439,146.1742358,80.09751782,41.37866499,57.68042812,,-685,198.9560912,91.54606263,61.50762547,64.00767518
-38,-428.6804247,-503.1658166,-442.9591936,-409.2241274,141.8394723,80.0762518,40.42518353,58.41584306,,-680,198.1915084,91.14184119,60.91815933,64.69522646
-37,-422.3661621,-492.0186369,-433.12203,-398.526214,137.3480481,80.0714872,39.49735018,59.15071307,,-675,197.4608672,90.73358954,60.35315888,65.22585737
-36,-415.6764863,-480.8109462,-422.9051969,-387.6432167,132.9438127,80.00605421,38.61473209,59.71095606,,-670,196.755661,90.32252575,59.80934985,65.62676053
